species,LAD,FAD
Apektocrinus,105.5,113.2
Aethocrinus,97.8,113.2
Alphacrinus,105.5,113.2
Botryocrinus,50.8,71.6
Carabocrinus,73,97.8
Codiacrinus,15.5,21.1
Colpodecrinus,80.8,97.8
Crotalocrinites,47,50.8
Cupulocrinus,73,80.8
Dendrocrinus,50.8,71.6
Euspirocrinus,50.8,71.6
Eustenocrinus,73,80.8
Gasterocoma,15.5,47
Homalocrinus,50.8,71.6
Ibexocrinus,86.2,97.8
Hybocrinus,73,97.8
Hybocystites,73,97.8
Icthyocrinus,47,71.6
Iocrinus,73,97.8
Lecanocrinus,47,71.6
Lecythocrinus,47,71.6
Heviacrinus,86.2,97.8
Manicrinus,47,71.6
Mastigocrinus,47,55.2
Merocrinus,73,97.8
Metabolocrinus,81.6,97.8
Ottawacrinus,73,80.8
Petalocrinus,47,71.6
Plicodendrocrinus,71.6,80.8
Porocrinus,73,97.8
Proctothylacocrinus,10.5,47
Protaxocrinus,73,80.8
Rhenocrinus,21.1,47
Rutkowskicrinus,10.5,21
Sagenocrinites,50.8,71.6
Sphaerocrinus,15.5,47
Streblocrinus,10.5,47
Thalamocrinus,38.6,55.2
Thenarocrinus,47,55.2
