species,FAD,LAD
Agriarctos_spp,7.75,4.9
Ailurarctos_lufengensis,8.2,5.8
Arctodus_simus,2.588,0.012
Ballusia_elmensis,22.8,13.7
Indarctos_arctoides,9.7,4.9
Indarctos_punjabiensis,9.7,4.9
Indarctos_vireti,8.7,7.75
Kretzoiarctos_beatrix,11.8,11.2
Parictis_montanus,37.2,33.9
Ursavus_brevirhinus,16.9,15.97
Ursavus_primaevus,15.97,13.65
Ursus_abstrusus,5.3,1.8
Ursus_spelaeus,0.25,0.027
Zaragocyon_daamsi,22.8,20
