species,LAD,FAD
Anthropornis grandis,34,52.5
Anthropornis nordenskjoeldi,34,52.5
Archaeospheniscus lopdelli,26,30
Archaeospheniscus lowei,26,30
Burnside Palaeudyptes,36,38.4
Delphinornis arctowskii,34,41
Delphinornis gracilis,34,41
Delphinornis larseni,34,52.5
Delphinornis wimani,34,52.5
Duntroonornis parvus,21.7,30
Eretiscus tonnii,16,21
Icadyptes salasi,35.7,37.2
Inkayacu paracasensis,35.7,37.2
Kairuku grebneffi,26,30
Kairuku waitaki,26,30
Madrynornis mirandus,9.7,10.3
Marambiornis exilis,34,41
Marplesornis novaezealandiae,5.33,15.97
Mesetaornis polaris,34,41
Pachydyptes ponderosus,34.5,36
Palaeeudyptes antarcticus,30.1,34.5
Palaeeudyptes gunnari,34,54
Palaeeudyptes klekowskii,34,52.5
Palaeospheniscus bergi,9.7,21
Palaeospheniscus biloculata,16,21
Palaeospheniscus patagonicus,16,21
Paraptenodytes antarcticus,21,23
Perudyptes devriesi,38,42
Platydyptes marplesi,23,30
Platydyptes novaezealandiae,23,26
Pygoscelis grandis,2.5,8.6
Spheniscus megaramphus,6.3,10
Spheniscus muizoni,9,9.2
Spheniscus urbinai,5.7,9.63
Waimanu manneringi,60.5,61.6
Waimanu tuatahi,56,60.5
