Species	Collection/Museum No.	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
Aphelaspis haguei	USGS 2506-CO	1.88	3.466	1.88	3.721	1.897	4.096	1.937	5.252	1.957	5.547	0.985	3.952	2.755	3.891	1.059	4.297	2.702	4.22	0.935	4.991	2.876	4.897	1.438	5.132	2.407	5.145	1.428	5.313	NA	NA
Aphelaspis haguei	USGS 2506-CO	1.699	5.017	1.686	5.306	1.662	5.58	1.642	6.569	1.639	6.854	0.875	5.43	2.443	5.49	0.935	5.698	2.373	5.715	0.744	6.325	2.474	6.365	1.233	6.479	NA	NA	1.243	6.656	2.024	6.686
Aphelaspis haguei	USGS 2506-CO	5.325	1.176	5.325	1.443	5.322	1.72	5.308	2.744	5.305	3.024	4.514	1.581	6.102	1.608	4.558	1.882	6.031	1.882	4.423	2.521	6.166	2.527	4.879	2.689	5.707	2.679	4.879	2.889	5.676	2.869
Aphelaspis haguei	USGS 2506-CO	3.85	1.069	3.839	1.218	3.836	1.328	3.786	1.996	3.783	2.199	3.332	1.29	4.309	1.352	3.329	1.419	4.288	1.472	3.219	1.811	4.347	1.862	3.511	1.98	4.061	1.998	3.511	2.092	4.045	2.116
Aphelaspis haguei	08McG02	7.94	1.922	7.895	2.515	7.806	3.257	7.672	5.521	7.628	5.995	5.995	2.79	9.654	3.146	6.107	3.458	NA	NA	5.765	4.786	NA	NA	6.663	5.194	NA	NA	6.712	5.654	NA	NA
Aphelaspis haguei	08McG02	7.581	2.496	7.558	2.881	7.52	3.476	7.432	5.153	7.432	5.534	6.102	3.255	8.88	3.289	6.224	3.773	8.697	3.773	6.022	4.783	8.823	4.802	6.704	4.966	8.167	5	6.742	5.317	8.099	5.336
Aphelaspis haguei	08McG02	6.864	2.697	6.835	3.095	6.809	3.594	6.762	5.096	6.736	5.457	5.541	3.39	NA	NA	5.705	3.82	NA	NA	5.526	4.688	NA	NA	6.091	4.906	7.396	4.947	6.109	5.198	7.331	5.242
Aphelaspis haguei	08McG02	4.708	1.953	4.694	2.249	4.687	2.678	4.614	3.998	4.596	4.36	3.513	2.552	NA	NA	3.628	2.876	5.669	2.967	NA	NA	5.725	3.803	3.977	3.893	5.227	3.949	4.039	4.172	5.143	4.206
Aphelaspis haguei	08McG02	3.499	2.304	3.486	2.662	3.476	3.094	3.445	4.347	3.449	4.709	2.429	2.918	4.526	3.02	2.496	3.29	4.455	3.331	NA	NA	4.567	4.161	NA	NA	4.009	4.324	2.898	4.523	3.955	4.574
Aphelaspis haguei	08McG02	3.546	1.116	3.542	1.455	3.529	1.902	3.542	3.226	3.549	3.579	2.447	1.734	4.564	1.748	2.551	2.104	4.483	2.087	2.363	2.934	4.675	2.931	2.937	3.109	4.093	3.126	2.978	3.404	4.073	3.418
Aphelaspis haguei	08McG02	3.446	1.61	3.439	2.015	3.413	2.558	3.294	4.274	3.28	4.646	NA	NA	4.692	2.399	2.127	2.783	4.579	2.856	1.922	3.764	4.672	3.89	2.591	4.062	3.996	4.129	2.618	4.394	3.91	4.467
Aphelaspis haguei	08McG02	2.581	1.464	2.561	1.74	2.534	2.084	2.459	3.211	2.442	3.511	1.675	1.907	3.364	2.036	1.716	2.203	3.276	2.288	1.532	2.891	3.419	2.993	NA	NA	2.963	3.143	2.009	3.313	2.908	3.354
Aphelaspis haguei	08McG02	3.575	1.932	3.579	2.206	3.572	2.565	3.529	3.598	3.516	3.895	NA	NA	4.385	2.397	2.752	2.706	4.306	2.68	2.604	3.371	NA	NA	3.058	3.526	NA	NA	3.095	3.723	3.908	3.717
Aphelaspis haguei	08McG02	2.299	1.896	2.279	2.165	2.243	2.539	2.138	3.693	2.129	3.985	1.289	2.361	3.132	2.424	1.361	2.709	NA	NA	1.184	3.398	3.126	3.49	1.666	3.588	2.601	3.618	1.696	3.814	2.561	3.844
Aphelaspis haguei	08McG02	3.914	1.955	3.891	2.294	3.848	2.675	3.763	3.977	3.743	4.328	2.784	2.494	4.923	2.665	2.859	2.846	4.792	2.961	2.692	3.635	NA	NA	3.188	3.855	4.322	3.914	3.214	4.121	4.259	4.187
Aphelaspis haguei	08McG02	4.245	2.358	4.235	2.629	4.219	3.05	4.165	4.255	4.145	4.553	3.213	2.893	5.177	2.949	3.273	3.19	NA	NA	3.083	3.965	NA	NA	NA	NA	4.663	4.152	3.671	4.379	4.61	4.402
Aphelaspis haguei	08McG02	2.821	2.222	2.821	2.51	2.834	2.937	2.858	4.103	2.851	4.41	NA	NA	3.785	2.722	NA	NA	3.685	3.069	NA	NA	3.871	3.795	NA	NA	3.334	4.007	NA	NA	3.348	4.235
Aphelaspis haguei	08McG02	5.197	1.653	5.177	1.908	5.134	2.218	5.015	3.266	4.992	3.564	NA	NA	5.971	2.202	4.331	2.301	5.885	2.427	NA	NA	5.948	3.114	4.549	3.167	5.481	3.247	4.589	3.375	5.425	3.448
Aphelaspis longispina	USGS 2490-CO	5.996	0.937	5.996	2.009	5.924	2.988	5.81	5.563	5.769	6.14	3.534	2.163	8.303	2.562	3.76	3.08	7.874	3.503	NA	NA	7.933	5.254	4.564	5.275	7.026	5.429	NA	NA	7.016	5.955
Aphelaspis longispina	USGS 2490-CO	5.044	0.644	5	1.725	4.953	2.631	4.968	5.655	4.913	6.387	NA	NA	7.511	2.213	2.751	3.275	7.031	3.264	NA	NA	7.118	5.044	NA	NA	6.212	5.47	3.603	6.048	6.245	6.081
Aphelaspis longispina	USGS 2490-CO	20.08	4.728	20.052	5.882	20.066	7.203	20.024	11.055	20.052	11.917	16.756	6.438	23.209	6.591	NA	NA	22.68	8.037	17.09	10.04	NA	NA	18.272	10.61	NA	NA	18.202	11.403	NA	NA
Aphelaspis longispina	USGS 2490-CO	19.521	5.005	19.316	8.281	19.088	10.466	18.838	18.838	18.884	20.385	12.422	8.964	26.073	9.374	NA	NA	25.163	12.536	NA	NA	25.8	16.699	14.879	18.451	22.66	18.884	NA	NA	22.296	20.271
Aphelaspis longispina	USGS 2490-CO	7.492	4.006	7.524	5.678	7.445	7.066	7.319	11.451	7.303	12.414	3.265	5.947	NA	NA	3.738	7.54	NA	NA	3.486	10.19	NA	NA	5.268	11.089	NA	NA	5.158	11.846	NA	NA
Aphelaspis longispina	USGS 2490-CO	5.67	1.242	5.626	2.132	5.516	2.912	5.418	6.022	5.41	6.725	NA	NA	7.835	2.626	3.418	3.56	NA	NA	NA	NA	7.637	5.319	4	5.802	NA	NA	NA	NA	6.769	6.275
Aphelaspis longispina	USGS 2490-CO	15.085	3.548	15.168	5.073	15.483	7.062	15.549	11.654	15.599	12.715	11.074	5.901	19.362	5.769	11.587	8.007	18.782	7.592	11.72	10.593	18.765	10.212	13.378	11.471	17.555	11.09	13.378	12.333	17.771	11.886
Aphelaspis longispina	USGS 2490-CO	20.408	6.267	20.456	7.307	20.582	8.425	20.723	11.826	20.818	12.708	17.038	8.173	NA	NA	NA	NA	23.07	8.96	NA	NA	23.322	10.929	19.007	11.59	22.267	11.385	NA	NA	22.33	12.141
Aphelaspis longispina	USGS 2490-CO	6.933	4.444	6.933	5.697	6.916	6.833	6.85	10.241	6.783	10.943	3.943	6.165	9.773	6.499	4.477	7.618	9.189	7.702	NA	NA	9.322	9.723	5.396	9.94	8.153	9.974	5.379	10.542	8.186	10.642
Aphelaspis longispina	USGS 2490-CO	13.594	7.278	13.578	8.984	13.499	10.436	13.594	15.109	13.578	16.009	NA	NA	17.715	10.089	NA	NA	17.083	11.62	NA	NA	17.241	14.21	11.525	14.699	15.504	14.762	11.494	15.52	15.473	15.441
Aphelaspis longispina	USGS 2491-CO	8.839	6.071	8.839	7.248	8.812	8.531	8.745	12.075	8.772	12.904	5.563	7.769	11.888	7.809	6.031	8.906	11.54	9.013	5.589	11.553	NA	NA	7.074	11.914	10.296	11.888	7.007	12.743	10.27	12.783
Aphelaspis longispina	USGS 2491-CO	5.831	1.397	5.831	2.059	5.796	2.741	5.71	4.846	5.732	5.337	4.203	2.3	NA	NA	4.388	3.069	7.154	3.161	NA	NA	7.111	4.576	NA	NA	6.557	4.811	4.772	5.038	NA	NA
