subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
0.0117 - 0,8,3.5638335254,3.1732900334,2.5820316308,2.9288437555,3.3544460506,3.5445201527,equalbins,Age,stratigraphy
0.00585,8,3.5638335254,3.2440984429,2.6784124034,2.9875167066,3.3615550299,3.5466211183,acctran,Age,stratigraphy
25.565,2,2.0539248946,2.0539248946,0,0,2.0539248946,2.0539248946,deltran,Age,stratigraphy
21.735,2,2.0539248946,2.0539248946,0,0,2.0539248946,2.0539248946,deltran,Age,stratigraphy
4.4665,7,3.5804131858,3.1130130425,2.0643569314,2.9063584781,3.3517558519,3.5352917899,random,Age,stratigraphy
0.00585,8,3.5638335254,3.2917616372,2.4475297129,2.9555544314,3.3848682792,3.5162868672,proximity,Age,stratigraphy
2.19,8,2.5304290231,2.6003781812,1.6743497216,2.3187030814,2.872339943,3.393590128,punctuated,Age,stratigraphy
0.06885,8,3.5638335254,3.1754234793,2.1994952683,2.9837798293,3.3481979605,3.5328695304,gradual,Age,stratigraphy
1.823 - 0,8,3.5638335254,3.1765920127,2.5209553921,2.9718947188,3.3365934704,3.5465693959,equalbins,Age,duration
2.7345,8,3.5638335254,3.1781001247,2.4312245095,2.9599943365,3.3694761499,3.5098413101,acctran,Age,duration
26.4335,2,2.0539248946,2.0539248946,0,0,2.0539248946,2.0539248946,deltran,Age,duration
24.6105,2,2.0539248946,2.0539248946,0,0,2.0539248946,2.0539248946,deltran,Age,duration
6.3805,7,3.5804131858,3.1064439653,2.2440593483,2.8091002807,3.3150440346,3.5804131858,random,Age,duration
0.9115,8,3.5638335254,3.1735348779,2.5890901444,2.980667545,3.3395462664,3.5132458571,proximity,Age,duration
0.9115,8,2.2522991115,2.4846099539,1.8682399567,2.2352004243,2.8968215662,3.3628535011,punctuated,Age,duration
0.9115,8,3.5138534124,3.0527639816,2.3971648846,2.7810618377,3.2513448153,3.4560025601,gradual,Age,duration
1.97071642857143 - 0,8,3.5638335254,3.1926040896,2.6036672964,2.9899585713,3.3636876191,3.5064577977,equalbins,Age,number
8.48924,7,3.5804131858,3.1875694287,2.3237182156,2.9433792982,3.326917882,3.5261034864,acctran,Age,number
0,8,3.5638335254,3.1579771382,2.5000691694,2.8597092416,3.3346509495,3.4751731427,deltran,Age,number
0,8,3.5638335254,3.159475071,2.6309508433,2.9598310493,3.3641882267,3.5297352828,random,Age,number
0,8,3.5638335254,3.1957220477,2.5070326563,3.0239529383,3.3632890826,3.5156052417,proximity,Age,number
0,8,3.5638335254,3.2364398459,2.6098657849,3.0245927398,3.3758269479,3.5052583704,punctuated,Age,number
0,8,3.5638335254,3.1865347561,2.6318962547,2.9911779557,3.3621828705,3.5908562097,gradual,Age,number
2.58 - 0,8,3.5638335254,3.2533181891,2.5023960016,2.8773726077,3.3747638416,3.5283300886,equalbins,Epoch,stratigraphy
3.956,7,3.5804131858,3.1488437601,2.2815648757,2.9237129523,3.350560279,3.4733108894,acctran,Epoch,stratigraphy
1.29,6,2.276200642,1.9209755775,1.2323549368,1.780068242,2.1078929037,2.257159425,deltran,Epoch,stratigraphy
1.29,8,2.9744108152,2.5846080847,2.0892084155,2.4042354643,2.7538134244,2.9811546616,random,Epoch,stratigraphy
1.29,8,3.5638335254,3.1586119623,2.4996445441,2.9730353264,3.3640727977,3.5152098732,proximity,Epoch,stratigraphy
1.29,8,3.2249757497,2.4658596339,1.7505243963,2.1644903435,2.8413400114,3.3092360492,punctuated,Epoch,stratigraphy
1.29,8,3.4222511454,2.9849170875,2.097772919,2.7877565725,3.2381417532,3.4862119235,gradual,Epoch,stratigraphy
2.752 - 0,8,3.5638335254,3.1415216976,2.7264051476,2.9637626008,3.3198324066,3.5114298987,equalbins,Epoch,duration
1.376,8,3.5638335254,3.2201856691,2.4570603976,2.9762891009,3.333256405,3.5716463232,acctran,Epoch,duration
20.64,2,2.0539248946,2.0539248946,0,0,2.0539248946,2.0539248946,deltran,Epoch,duration
4.128,7,3.4798458165,3.0216201023,2.2356210157,2.7773450452,3.2986533853,3.4387568502,random,Epoch,duration
1.376,8,3.5638335254,3.174961111,2.6450761274,3.0516067385,3.349511549,3.5166646291,proximity,Epoch,duration
1.376,8,3.1247659648,2.5345954778,1.7663230751,2.2665061832,2.8816064058,3.2921644553,punctuated,Epoch,duration
1.376,8,2.9629406026,3.0594404003,2.338822494,2.844568176,3.3134728929,3.4777234464,gradual,Epoch,duration
9.19667666666667 - 0,9,3.459411652,3.0758390087,2.5000102188,2.9173655959,3.2650287801,3.5012930244,equalbins,Epoch,number
0,8,3.5638335254,3.1393054178,2.4920674495,2.9107062478,3.3357107253,3.4849380125,acctran,Epoch,number
0,8,3.5638335254,3.1836361115,2.6575583369,2.9730129039,3.3858023494,3.531300746,deltran,Epoch,number
0,8,3.5638335254,3.1721083331,2.5593534038,2.9817546475,3.3590338056,3.5316977381,random,Epoch,number
0,8,3.5638335254,3.2333720407,2.6106176817,2.9237254069,3.3666119534,3.5172947212,proximity,Epoch,number
0,8,3.5638335254,3.1519316226,2.5285145927,2.9058939545,3.3715435547,3.5115453813,punctuated,Epoch,number
0,8,3.5638335254,3.1336087716,2.5633181357,2.936386405,3.3509047723,3.5046802515,gradual,Epoch,number
