subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
477.7 - 470,14,2.2670895355,2.115860023,1.96049743,2.0634965478,2.1704387047,2.2315147667,equalbins,Age,stratigraphy
468.65,12,2.2398850804,2.0829417434,1.725030407,2.0047189923,2.1300891608,2.2084228213,acctran,Age,stratigraphy
462.85,12,2.2412579225,2.0693123329,1.8615971916,2.0114633249,2.1341137506,2.199696492,deltran,Age,stratigraphy
468.65,12,2.2265059052,2.0597741411,1.815738082,1.9983200669,2.1049787317,2.1889564281,random,Age,stratigraphy
462.85,12,2.2412579225,2.0730351122,1.8298433559,2.0070193554,2.1196493532,2.1886354529,proximity,Age,stratigraphy
462.85,15,2.2105012706,2.0588807307,1.8561947344,2.0012280522,2.0952856767,2.1842833578,equal.split,Age,stratigraphy
462.85,15,2.2105012706,2.0975227936,1.8842435433,2.0464452152,2.1258840338,2.1772649078,gradual.split,Age,stratigraphy
464.6 - 460.2,12,2.2458294972,2.0770241301,1.830670908,2.0207609686,2.1234225346,2.1968031399,equalbins,Age,duration
466.8,12,2.2412579225,2.0546781452,1.8460783646,1.9974336801,2.1040354151,2.1882104845,acctran,Age,duration
462.4,12,2.2412579225,2.0851197785,1.8831604461,2.0165304554,2.1296868845,2.1877603807,deltran,Age,duration
458,10,2.2394266368,2.0579881024,1.8154534526,1.9601832845,2.1122649418,2.2055882762,random,Age,duration
462.4,12,2.2412579225,2.0597736465,1.8194750953,1.9848525038,2.1079482281,2.1764891292,proximity,Age,duration
462.4,14,2.1731923888,2.0653907618,1.8948076946,2.0144381412,2.1052346652,2.1620209539,equal.split,Age,duration
462.4,14,2.215494953,2.05772206,1.863802167,1.9900811009,2.1168388426,2.169313565,gradual.split,Age,duration
461.2948 - 456.6056,11,2.2557157816,2.0782621194,1.6913809794,1.9848863801,2.1385120695,2.210922291,equalbins,Age,number
465.984,12,2.2412579225,2.0607428172,1.8703632776,2.0015213116,2.115570648,2.1789042189,acctran,Age,number
461.048,12,2.2412579225,2.0753385091,1.8723315428,2.0128332492,2.1296280712,2.2130420798,deltran,Age,number
456.112,10,2.2828029594,2.1039542442,1.8480534941,2.028692756,2.1449880676,2.1912539316,random,Age,number
461.048,12,2.2500431449,2.0754976551,1.8848454782,2.0154853483,2.1253411018,2.1900651679,proximity,Age,number
461.048,14,2.1785265724,2.0608962128,1.8726180682,2.027079663,2.1163870651,2.1663551908,equal.split,Age,number
461.048,14,2.224619983,2.0768106648,1.9340486077,2.0229952158,2.1063130614,2.1871679205,gradual.split,Age,number
477.7 - 470,14,2.2670895355,2.115860023,1.96049743,2.0634965478,2.1704387047,2.2315147667,equalbins,Epoch,stratigraphy
468.65,12,2.2398850804,2.0829417434,1.725030407,2.0047189923,2.1300891608,2.2084228213,acctran,Epoch,stratigraphy
462.85,12,2.2412579225,2.0693123329,1.8615971916,2.0114633249,2.1341137506,2.199696492,deltran,Epoch,stratigraphy
468.65,12,2.2265059052,2.0597741411,1.815738082,1.9983200669,2.1049787317,2.1889564281,random,Epoch,stratigraphy
462.85,12,2.2412579225,2.0730351122,1.8298433559,2.0070193554,2.1196493532,2.1886354529,proximity,Epoch,stratigraphy
462.85,15,2.2105012706,2.0588807307,1.8561947344,2.0012280522,2.0952856767,2.1842833578,equal.split,Epoch,stratigraphy
462.85,15,2.2105012706,2.0975227936,1.8842435433,2.0464452152,2.1258840338,2.1772649078,gradual.split,Epoch,stratigraphy
464.6 - 460.2,12,2.2458294972,2.0770241301,1.830670908,2.0207609686,2.1234225346,2.1968031399,equalbins,Epoch,duration
466.8,12,2.2412579225,2.0546781452,1.8460783646,1.9974336801,2.1040354151,2.1882104845,acctran,Epoch,duration
462.4,12,2.2412579225,2.0851197785,1.8831604461,2.0165304554,2.1296868845,2.1877603807,deltran,Epoch,duration
458,10,2.2394266368,2.0579881024,1.8154534526,1.9601832845,2.1122649418,2.2055882762,random,Epoch,duration
462.4,12,2.2412579225,2.0597736465,1.8194750953,1.9848525038,2.1079482281,2.1764891292,proximity,Epoch,duration
462.4,14,2.1731923888,2.0653907618,1.8948076946,2.0144381412,2.1052346652,2.1620209539,equal.split,Epoch,duration
462.4,14,2.215494953,2.05772206,1.863802167,1.9900811009,2.1168388426,2.169313565,gradual.split,Epoch,duration
461.2948 - 456.6056,11,2.2557157816,2.0782621194,1.6913809794,1.9848863801,2.1385120695,2.210922291,equalbins,Epoch,number
465.984,12,2.2412579225,2.0607428172,1.8703632776,2.0015213116,2.115570648,2.1789042189,acctran,Epoch,number
461.048,12,2.2412579225,2.0753385091,1.8723315428,2.0128332492,2.1296280712,2.2130420798,deltran,Epoch,number
456.112,10,2.2828029594,2.1039542442,1.8480534941,2.028692756,2.1449880676,2.1912539316,random,Epoch,number
461.048,12,2.2500431449,2.0754976551,1.8848454782,2.0154853483,2.1253411018,2.1900651679,proximity,Epoch,number
461.048,14,2.1785265724,2.0608962128,1.8726180682,2.027079663,2.1163870651,2.1663551908,equal.split,Epoch,number
461.048,14,2.224619983,2.0768106648,1.9340486077,2.0229952158,2.1063130614,2.1871679205,gradual.split,Epoch,number
