36,0.00219488143920898,acctran,stratigraphy,Age
198,0.0189566612243652,deltran,stratigraphy,Age
113,0.678863048553467,gradual,stratigraphy,Age
110,0.610151767730713,proximity,stratigraphy,Age
92,0.27562665939331,punctuated,stratigraphy,Age
76,0.105453491210937,random,stratigraphy,Age
50,1.81014183908701e-06,acctran,duration,Age
156,0.00823489035246896,deltran,duration,Age
64,8.71450174599888e-06,gradual,duration,Age
37,3.33820935338736e-07,proximity,duration,Age
73,2.15615145862103e-05,punctuated,duration,Age
70,1.60697964020074e-05,random,duration,Age
16,1.57393515110016e-07,acctran,number,Age
165,0.10662505030632,deltran,number,Age
49,2.5077722966671e-05,gradual,number,Age
59,7.78166577219962e-05,proximity,number,Age
37,5.31785190105438e-06,punctuated,number,Age
36,4.61935997009277e-06,random,number,Age
19,0.46875,acctran,stratigraphy,Epoch
22,0.21875,deltran,stratigraphy,Epoch
21,0.296875,gradual,stratigraphy,Epoch
21,0.296875,proximity,stratigraphy,Epoch
21,0.296875,punctuated,stratigraphy,Epoch
21,0.296875,random,stratigraphy,Epoch
6,0.0546875,acctran,duration,Epoch
45,0.00390625,deltran,duration,Epoch
39,0.0546875,gradual,duration,Epoch
36,0.12890625,proximity,duration,Epoch
39,0.0546875,punctuated,duration,Epoch
40,0.0390625,random,duration,Epoch
12,0.25,acctran,number,Epoch
41,0.02734375,deltran,number,Epoch
44,0.0078125,gradual,number,Epoch
39,0.0546875,proximity,number,Epoch
44,0.0078125,punctuated,number,Epoch
42,0.01953125,random,number,Epoch
