subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
33.9 - 28.1,2,37.4557586591,37.4557586591,0,0,37.4557586591,37.4557586591,equalbins,Age,stratigraphy
39.5,23,36.7169752414,35.1853202497,34.2237280761,34.8243905629,35.4849812164,35.8825930587,acctran,Age,stratigraphy
77.85,30,34.5078310496,33.368324704,32.573795329,33.0698410989,33.606694726,33.9357705707,deltran,Age,stratigraphy
69.05,40,34.9860879722,34.1323480832,33.417287852,33.9005056301,34.3435364988,34.7444300891,random,Age,stratigraphy
18.205,15,36.6418110221,34.5043652212,31.9778333052,33.7508238618,34.9755335908,35.6717225142,proximity,Age,stratigraphy
69.05,48,34.8810044845,34.1533654579,33.4268686693,33.9426988959,34.3696817056,34.7082719187,punctuated,Age,stratigraphy
0.06885,14,36.5817299661,34.2563086399,31.8590839646,33.6275447867,34.8480251704,35.4344796696,gradual,Age,stratigraphy
148 - 144.3,2,35.3182014067,35.3182014067,0,0,35.3182014067,35.3182014067,equalbins,Age,duration
38.85,24,36.8223803249,35.3568670671,34.4281052301,35.0646030371,35.5921005061,35.9061626049,acctran,Age,duration
68.45,30,34.1800852967,33.1314894453,32.1549750398,32.804878411,33.4145560184,33.8542749508,deltran,Age,duration
53.65,30,35.5439519941,34.4595836922,33.4070845943,34.2351141457,34.6880392971,35.0664312016,random,Age,duration
9.25,14,36.5817299661,34.3815548132,31.8466304797,33.6943071739,34.7472510312,35.3110974647,proximity,Age,duration
68.45,45,35.2297685321,34.0600089998,33.3312555423,33.8371090872,34.3449024549,34.7299110651,punctuated,Age,duration
68.45,45,34.4697932895,33.8635121173,33.3137743538,33.6607806173,34.1458668364,34.5134646495,gradual,Age,duration
46.296327 - 42.08757,2,36.1448853653,36.1448853653,0,0,36.1448853653,36.1448853653,equalbins,Age,number
56.11676,38,36.256778395,35.3332028556,34.6230425482,35.0631974738,35.5028580513,35.8352902364,acctran,Age,number
0,14,36.5817299661,34.1257529086,31.7706456017,33.3729522505,34.696558941,35.4216414655,deltran,Age,number
69.0667815384615,40,35.1818422396,34.3891039758,33.4754006717,34.1510118239,34.5871408724,34.8936609598,random,Age,number
17.2666953846154,15,36.6418110221,34.1502833485,32.1865331426,33.5419423213,34.7463643431,35.5650216898,proximity,Age,number
69.0667815384615,48,34.7354900426,34.1447305588,33.3746107127,33.9160435293,34.3408622421,34.6558571607,punctuated,Age,number
0,14,36.5817299661,34.3491961187,32.0140711144,33.7169324855,34.7514911312,35.4129190627,gradual,Age,number
33.9 - 28.1,2,37.4557586591,37.4557586591,0,0,37.4557586591,37.4557586591,equalbins,Epoch,stratigraphy
39.5,23,36.7169752414,35.1853202497,34.2237280761,34.8243905629,35.4849812164,35.8825930587,acctran,Epoch,stratigraphy
77.85,30,34.5078310496,33.368324704,32.573795329,33.0698410989,33.606694726,33.9357705707,deltran,Epoch,stratigraphy
69.05,40,34.9860879722,34.1323480832,33.417287852,33.9005056301,34.3435364988,34.7444300891,random,Epoch,stratigraphy
18.205,15,36.6418110221,34.5043652212,31.9778333052,33.7508238618,34.9755335908,35.6717225142,proximity,Epoch,stratigraphy
69.05,48,34.8810044845,34.1533654579,33.4268686693,33.9426988959,34.3696817056,34.7082719187,punctuated,Epoch,stratigraphy
0.06885,14,36.5817299661,34.2563086399,31.8590839646,33.6275447867,34.8480251704,35.4344796696,gradual,Epoch,stratigraphy
148 - 144.3,2,35.3182014067,35.3182014067,0,0,35.3182014067,35.3182014067,equalbins,Epoch,duration
38.85,24,36.8223803249,35.3568670671,34.4281052301,35.0646030371,35.5921005061,35.9061626049,acctran,Epoch,duration
68.45,30,34.1800852967,33.1314894453,32.1549750398,32.804878411,33.4145560184,33.8542749508,deltran,Epoch,duration
53.65,30,35.5439519941,34.4595836922,33.4070845943,34.2351141457,34.6880392971,35.0664312016,random,Epoch,duration
9.25,14,36.5817299661,34.3815548132,31.8466304797,33.6943071739,34.7472510312,35.3110974647,proximity,Epoch,duration
68.45,45,35.2297685321,34.0600089998,33.3312555423,33.8371090872,34.3449024549,34.7299110651,punctuated,Epoch,duration
68.45,45,34.4697932895,33.8635121173,33.3137743538,33.6607806173,34.1458668364,34.5134646495,gradual,Epoch,duration
46.296327 - 42.08757,2,36.1448853653,36.1448853653,0,0,36.1448853653,36.1448853653,equalbins,Epoch,number
56.11676,38,36.256778395,35.3332028556,34.6230425482,35.0631974738,35.5028580513,35.8352902364,acctran,Epoch,number
0,14,36.5817299661,34.1257529086,31.7706456017,33.3729522505,34.696558941,35.4216414655,deltran,Epoch,number
69.0667815384615,40,35.1818422396,34.3891039758,33.4754006717,34.1510118239,34.5871408724,34.8936609598,random,Epoch,number
17.2666953846154,15,36.6418110221,34.1502833485,32.1865331426,33.5419423213,34.7463643431,35.5650216898,proximity,Epoch,number
69.0667815384615,48,34.7354900426,34.1447305588,33.3746107127,33.9160435293,34.3408622421,34.6558571607,punctuated,Epoch,number
0,14,36.5817299661,34.3491961187,32.0140711144,33.7169324855,34.7514911312,35.4129190627,gradual,Epoch,number
